year,month,h,t,t,t,a,1_x,2_x,3_x,c
2010,1,437,867,2392,3013,2561,1129,722,566,161
2010,2,361,776,1879,2367,2178,963,628,478,184
2010,3,561,986,2470,2976,2346,1055,624,473,237
2010,4,453,770,1867,2323,2053,952,596,534,245
2010,5,432,780,1942,2252,1852,928,610,487,229
2010,6,369,760,1938,2166,1881,968,662,581,189
2010,7,313,640,1905,2210,2049,1063,727,681,136
2010,8,305,666,2033,2533,2562,1512,1035,898,143
2010,9,424,770,2125,2774,2570,1474,917,776,142
2010,10,417,837,2636,3203,3244,1636,910,713,172
2010,11,468,991,2785,3678,3744,1875,1057,828,207
2010,12,401,759,2012,2589,2561,1254,715,489,186
2011,1,556,1264,3162,3556,3013,1387,819,538,251
2011,2,442,900,2140,2607,2294,1090,602,465,226
2011,3,521,926,2181,2775,2370,1080,674,505,219
2011,4,447,776,1597,2069,2008,950,585,537,219
2011,5,439,834,1988,2442,2222,1004,689,585,248
2011,6,370,621,1638,2015,1789,820,572,529,219
2011,7,371,718,1885,2291,2100,1159,750,693,189
2011,8,353,673,1833,2547,2478,1317,964,900,146
2011,9,333,728,2011,2660,2719,1486,1023,930,168
2011,10,425,832,2239,3119,3144,1760,1058,911,216
2011,11,492,976,2545,3191,2902,1369,842,687,256
2011,12,425,753,1939,2533,2321,1153,691,459,245
2012,1,591,1206,3033,3343,2798,1281,689,443,284
2012,2,450,929,2274,2610,2028,910,539,413,235
2012,3,539,995,2515,2613,2021,974,597,490,310
2012,4,470,942,2186,2299,1852,846,524,507,278
2012,5,447,843,2015,2164,1894,831,552,446,279
2012,6,359,718,1959,2178,1605,775,464,506,173
2012,7,331,741,2195,2506,2008,1063,685,588,173
2012,8,374,723,2003,2314,2293,1232,847,771,157
2012,9,347,629,1912,2557,2292,1319,894,732,161
2012,10,534,1136,2732,3650,3368,1848,1173,895,258
2012,11,796,1236,2826,3344,3045,1714,1039,778,349
2012,12,387,867,2318,2625,2245,1168,663,409,222
2013,1,531,1215,3022,3143,2556,1147,829,594,243
2013,2,455,913,2647,2621,2038,942,581,418,244
2013,3,498,1068,2691,2545,2044,937,520,411,269
2013,4,512,1044,2484,2559,1996,928,622,469,322
2013,5,469,898,2241,2083,1602,762,525,418,251
2013,6,412,744,1789,1746,1376,742,523,451,226
2013,7,452,855,2098,2083,1753,962,682,499,203
2013,8,395,887,2384,2435,2174,1220,863,730,187
2013,9,431,841,2353,2762,2452,1368,1001,860,217
2013,10,641,1177,2730,3245,2796,1584,1055,853,259
2013,11,649,1255,2854,3386,3130,1682,1127,871,355
2013,12,531,1042,2294,2671,2355,1295,843,578,272
2014,1,570,1193,2918,3237,2718,1284,798,531,327
2014,2,486,1031,2362,2381,1911,968,619,447,287
2014,3,496,900,2215,2439,1845,981,596,472,287
2014,4,495,854,2074,2109,1733,851,580,476,275
2014,5,498,909,1961,1914,1589,822,515,461,310
2014,6,407,769,1654,1717,1501,788,527,469,223
2014,7,372,788,2017,2142,1855,1057,709,603,189
2014,8,376,875,2097,2415,2269,1388,897,752,182
2014,9,427,944,2395,2860,2716,1645,1125,900,228
2014,10,494,1056,2687,2996,3041,1624,1000,813,271
2014,11,543,1080,2628,3144,3153,1694,1022,764,334
2014,12,541,974,2321,2690,2762,1354,770,547,269
2015,1,475,946,2468,2760,2513,1212,716,509,219
2015,2,454,884,2533,2522,2227,1012,667,461,244
2015,3,550,1036,2636,2695,2276,1127,670,515,293
2015,4,491,838,1945,2166,1731,784,543,388,262
2015,5,368,687,1576,1815,1595,747,520,432,198
2015,6,369,754,1935,2063,1714,854,590,526,200
2015,7,379,774,2152,2442,2182,1154,904,768,185
2015,8,338,689,1809,2297,2344,1439,1060,958,133
2015,9,374,728,2055,2310,2222,1347,1015,808,174
2015,10,527,998,2660,3093,2858,1643,968,755,242
2015,11,543,1053,2782,3270,2955,1776,975,647,270
2015,12,455,871,2191,2583,2395,1278,681,464,227
2016,1,443,983,2670,2985,2444,1295,708,518,216
2016,2,551,1210,2778,2910,2324,1193,680,501,261
2016,3,511,1043,2484,2562,1877,944,592,495,248
2016,4,508,951,2357,2300,1605,871,539,499,269
2016,5,446,945,2116,1967,1375,728,543,492,231
2016,6,425,875,2085,2019,1475,818,651,562,217
2016,7,341,769,2142,2194,1715,1036,762,696,161
2016,8,348,675,1849,2241,1846,1144,827,725,140
2016,9,384,817,2214,2358,2066,1245,941,796,180
2016,10,535,1148,2797,3027,2363,1494,939,701,230
2016,11,588,1201,2843,3221,2785,1689,1012,744,279
2016,12,427,852,1997,2562,2196,1233,736,514,231
2017,1,433,1147,2563,2703,2179,1096,715,622,185
2017,2,488,1053,2300,2317,1750,889,572,455,266
2017,3,499,1096,2298,2242,1596,798,566,516,275
2017,4,418,789,1704,1834,1326,625,462,459,235
2017,5,467,901,1985,2248,1744,767,539,552,223
2017,6,445,879,2304,2367,1703,871,606,620,245
2017,7,422,883,2298,2918,2157,1141,846,810,190
2017,8,395,798,1856,2317,1911,1115,890,882,173
2017,9,370,805,1856,2333,2110,1191,879,766,202
2017,10,533,1144,2659,2923,2484,1268,936,742,249
2017,11,706,1265,2601,3065,2367,1257,878,700,377
2017,12,458,839,1922,2304,1853,966,668,551,283
2018,1,558,1220,2784,3022,2260,1155,751,606,298
2018,2,552,903,2044,2118,1599,800,526,477,313
2018,3,612,1190,2446,2477,1614,794,502,420,357
2018,4,662,1193,2377,2212,1447,683,432,429,379
2018,5,580,1066,1909,1863,1269,665,493,418,294
2018,6,480,933,1890,1887,1257,659,552,529,280
2018,7,593,1172,2575,2435,2009,1021,824,981,273
2018,8,507,907,1929,2257,2271,1342,1045,973,253
2018,9,446,896,2011,2385,2087,1184,937,989,204
2018,10,742,1314,2933,3268,2933,1579,1090,1000,343
2018,11,648,1237,2463,2637,2449,1394,963,808,389
2018,12,533,1149,2431,2507,2053,1095,687,479,265
2019,1,683,1426,2874,2831,2166,1075,667,613,367
2019,2,635,1289,2486,2412,1733,813,527,449,325
2019,3,636,1254,2287,2142,1501,711,495,455,331
2019,4,736,1385,2515,2313,1560,738,519,475,385
2019,5,672,1271,2183,2103,1462,717,513,484,386
2019,6,487,858,1721,1823,1175,574,425,429,255
2019,7,494,1083,2290,2497,1939,969,682,748,231
2019,8,434,938,1739,2179,1888,1115,756,739,234
2019,9,438,1014,1973,2241,1980,1098,835,714,194
2019,10,651,1168,2675,3051,2508,1338,961,898,327
2019,11,753,1375,2608,3199,2437,1390,966,856,353
2019,12,630,1092,2132,2446,1970,1049,783,587,397
2020,1,659,1312,2607,2674,1976,901,585,537,382
2020,2,593,1227,2192,2147,1580,786,490,466,324
2020,3,562,1117,2180,2153,1645,792,556,549,377
2020,4,346,578,1022,1107,913,457,388,373,255
2020,5,504,1079,1887,1925,1230,576,447,464,297
2020,6,628,1327,2354,2371,1446,701,464,542,349
2020,7,448,989,1953,2030,1463,798,588,673,274
2020,8,518,1094,2150,2531,1957,1121,763,783,268
2020,9,578,1090,2250,2444,1799,995,806,799,262
2020,10,697,1340,2564,3038,2252,1141,905,852,385
2020,11,661,1151,2268,2734,2021,1075,775,743,377
2020,12,677,1066,1815,2218,1649,859,630,523,361
2021,1,641,1195,2319,2411,1776,946,595,490,312
2021,2,550,1128,2176,2155,1482,671,473,466,308
2021,3,791,1361,2629,2478,1676,808,518,520,394
2021,4,649,1205,1964,1932,1321,640,420,447,428
2021,5,582,1018,1803,1667,1201,587,418,480,323
2021,6,502,948,1793,1783,1260,580,431,438,268
2021,7,462,986,1907,1896,1464,747,568,713,219
2021,8,560,1196,2228,2424,1940,1078,848,866,296
2021,9,547,994,1986,2109,1735,945,767,917,288
2021,10,684,1280,2482,2635,2198,1167,854,849,363
2021,11,856,1517,2923,2982,2688,1379,963,883,486
2021,12,656,1045,1829,1990,1729,888,656,639,340
2022,1,699,1328,2601,2344,1868,911,651,624,373
2022,2,667,1206,2196,1904,1430,683,498,521,329
2022,3,658,1299,2114,2048,1513,745,506,608,370
2022,4,541,985,1820,1760,1315,609,489,600,318
2022,5,576,1012,1832,1767,1294,624,513,580,324
2022,6,476,820,1664,1639,1263,664,531,611,250
2022,7,455,1007,1891,1979,1576,889,717,837,278
2022,8,528,1145,2155,2421,2277,1314,996,1171,301
2022,9,497,941,1877,2023,1887,1122,880,947,230
2022,10,651,1239,2673,2771,2219,1250,905,846,274
2022,11,850,1451,2707,2969,2624,1374,1019,1058,373
2022,12,625,1081,1954,2071,1812,974,700,671,283
2023,1,637,1166,2288,2399,2034,1026,756,685,331
2023,2,648,1155,2145,2113,1583,770,596,516,360
2023,3,644,1217,2238,2003,1569,721,540,561,402
2023,4,573,1030,1850,1582,1204,583,481,468,327
2023,5,639,1111,1955,1758,1319,648,506,557,379
2023,6,494,957,1681,1579,1278,735,533,586,257
2023,7,449,901,1830,1817,1505,864,678,743,218
