year,month,bergamasca,berrichon_du_cher,blackheaded_meat_sheep,braunkoepfiges_fleischschaf,buendner_oberlaender_schaf,charmoise,charollais_suisse,coburger_fuchsschaf,dorper,easy_care,engadinerschaf,gotlaender_pelzschaf,heidschnucke,ile_de_france_suisse,jakobsschaf,kamerunschaf,kerry_hill,kreuzung,lacaune,nolana,ostfriesisches_milchschaf,ouessant,oxford,poll_dorset,racka,rasseunbekannt,rouge_de_l_ouest,saaser_mutte,schwarzbraunes_bergschaf,scottish_blackface,shropshire,skudde,soayschaf,spiegelschaf,suffolk,swifter,texel,waldschaf,walliser_landschaf,walliser_schwarznasenschaf,weisses_alpenschaf,wensleydale,zwartbles
2020,1,,,0.0,2676,154.0,0.0,651,,437,0.0,544,0.0,7.0,464.0,12.0,22,0.0,1021,1112,100.0,500,17.0,0.0,0.0,0.0,13779,86.0,61.0,3157,10.0,423.0,199,0.0,499,1174,0.0,824,0.0,103,142,5469,0.0,0.0
2020,2,0.0,,0.0,3278,296.0,0.0,1168,,556,0.0,607,,30.0,343.0,131.0,29,0.0,1723,1905,334.0,899,14.0,,0.0,0.0,18120,145.0,43.0,3122,84.0,614.0,413,0.0,605,1648,0.0,1942,0.0,205,423,6846,0.0,0.0
2020,3,0.0,0.0,0.0,3035,218.0,,591,,441,0.0,881,,714.0,223.0,165.0,34,0.0,2843,1331,743.0,555,179.0,0.0,0.0,0.0,18810,72.0,81.0,3224,116.0,332.0,673,15.0,1183,2125,0.0,2292,0.0,327,2227,8356,0.0,0.0
2020,4,0.0,0.0,0.0,1157,83.0,0.0,327,7.0,153,0.0,555,,1007.0,160.0,71.0,73,0.0,3308,997,129.0,175,357.0,,0.0,0.0,9907,101.0,82.0,2372,20.0,190.0,331,53.0,621,628,0.0,622,0.0,112,1430,5098,0.0,0.0
2020,5,0.0,0.0,0.0,335,45.0,,184,0.0,129,0.0,396,0.0,331.0,42.0,19.0,29,0.0,2007,285,19.0,71,149.0,0.0,0.0,0.0,5996,31.0,46.0,1381,12.0,38.0,144,20.0,358,218,0.0,248,0.0,71,398,2370,0.0,0.0
2020,6,0.0,0.0,0.0,171,23.0,0.0,33,0.0,178,0.0,167,0.0,75.0,6.0,,27,0.0,762,212,20.0,39,36.0,0.0,0.0,0.0,2082,18.0,18.0,716,17.0,,46,,112,62,0.0,69,0.0,37,121,686,0.0,0.0
2020,7,0.0,0.0,0.0,53,13.0,0.0,22,0.0,115,0.0,128,0.0,23.0,19.0,0.0,9,0.0,461,338,43.0,32,,0.0,0.0,0.0,1154,8.0,13.0,389,,,42,0.0,65,44,0.0,20,0.0,17,27,424,0.0,0.0
2020,8,0.0,0.0,0.0,31,18.0,0.0,14,0.0,61,0.0,151,0.0,8.0,19.0,,18,0.0,460,459,,153,12.0,0.0,0.0,0.0,1540,7.0,6.0,427,,6.0,35,0.0,119,31,0.0,16,0.0,23,42,396,0.0,0.0
2020,9,0.0,0.0,0.0,105,30.0,0.0,105,0.0,137,0.0,387,0.0,,25.0,0.0,13,0.0,1259,1940,,349,9.0,0.0,0.0,0.0,3197,13.0,27.0,1294,,,31,0.0,273,73,0.0,74,0.0,65,693,1985,0.0,0.0
2020,10,0.0,,0.0,327,126.0,,137,,183,0.0,630,0.0,35.0,182.0,,15,0.0,3126,1237,7.0,72,,0.0,0.0,0.0,9647,,161.0,2926,,27.0,69,0.0,873,170,0.0,74,0.0,118,3219,8307,0.0,0.0
2020,11,0.0,0.0,0.0,504,144.0,,91,0.0,190,0.0,461,0.0,,92.0,0.0,21,0.0,3000,935,26.0,39,,0.0,0.0,0.0,8306,15.0,67.0,2055,0.0,,18,0.0,474,202,0.0,121,0.0,58,820,5912,0.0,0.0
2020,12,0.0,,0.0,1095,74.0,,278,,310,0.0,453,0.0,15.0,231.0,9.0,52,0.0,3992,1471,176.0,166,,,0.0,0.0,9011,16.0,63.0,2356,,56.0,125,5.0,431,648,0.0,383,0.0,48,183,4327,0.0,0.0
2021,1,0.0,0.0,0.0,2549,163.0,,663,,471,0.0,481,0.0,18.0,245.0,17.0,72,0.0,5099,1838,133.0,729,8.0,,0.0,0.0,10794,44.0,37.0,2659,,459.0,288,0.0,529,1252,0.0,660,,118,136,4590,0.0,0.0
2021,2,0.0,0.0,0.0,2904,146.0,0.0,912,9.0,470,0.0,614,0.0,42.0,189.0,138.0,44,0.0,7393,1791,620.0,708,26.0,,0.0,0.0,15098,170.0,82.0,3072,89.0,707.0,437,0.0,675,2076,0.0,1601,,280,377,5474,0.0,0.0
2021,3,0.0,0.0,0.0,3299,224.0,0.0,632,15.0,508,0.0,1072,,739.0,312.0,213.0,83,0.0,8300,1939,601.0,486,194.0,,,0.0,17008,234.0,155.0,3645,155.0,411.0,584,23.0,1079,1905,0.0,2379,0.0,354,2121,7681,0.0,0.0
2021,4,0.0,,0.0,1083,121.0,,422,,248,0.0,577,0.0,1228.0,157.0,126.0,47,,5700,1076,201.0,233,524.0,0.0,0.0,0.0,11645,96.0,145.0,2452,64.0,161.0,474,91.0,771,737,0.0,632,,158,1741,5177,0.0,0.0
2021,5,0.0,,0.0,444,82.0,,162,0.0,165,0.0,493,0.0,222.0,61.0,8.0,40,0.0,3647,457,32.0,110,162.0,0.0,0.0,0.0,6713,54.0,134.0,1524,,54.0,197,17.0,375,340,0.0,297,0.0,99,426,2456,0.0,0.0
2021,6,0.0,,0.0,104,30.0,0.0,94,0.0,77,0.0,245,0.0,34.0,46.0,5.0,119,0.0,1132,226,69.0,42,39.0,0.0,0.0,0.0,2514,28.0,43.0,682,20.0,28.0,39,0.0,117,140,0.0,95,0.0,39,147,818,0.0,0.0
2021,7,0.0,0.0,0.0,50,18.0,,28,0.0,41,0.0,138,0.0,10.0,14.0,6.0,28,0.0,609,302,11.0,17,27.0,0.0,,0.0,1073,,,452,0.0,6.0,24,,37,47,0.0,23,0.0,14,44,316,0.0,0.0
2021,8,0.0,,0.0,58,23.0,0.0,7,0.0,18,0.0,113,0.0,0.0,26.0,0.0,36,,632,746,0.0,151,9.0,0.0,,0.0,914,,13.0,398,,,83,,125,32,0.0,20,0.0,16,57,318,0.0,0.0
2021,9,0.0,,0.0,87,35.0,0.0,42,0.0,105,0.0,263,0.0,21.0,59.0,,22,0.0,1314,1613,,368,12.0,0.0,0.0,0.0,2635,5.0,50.0,1000,,,71,0.0,244,59,0.0,52,0.0,51,659,1342,0.0,0.0
2021,10,0.0,7.0,0.0,202,70.0,0.0,101,0.0,215,0.0,725,0.0,26.0,160.0,0.0,21,0.0,3830,1830,8.0,109,5.0,,0.0,0.0,8794,,170.0,2796,,0.0,86,,1221,206,0.0,97,0.0,114,2937,7423,0.0,0.0
2021,11,0.0,17.0,0.0,338,152.0,,160,0.0,278,0.0,447,,,141.0,,20,0.0,3804,935,170.0,18,,15.0,0.0,0.0,7420,13.0,111.0,1981,,,40,0.0,613,217,0.0,110,,66,988,5600,0.0,0.0
2021,12,0.0,95.0,0.0,951,89.0,30.0,190,19.0,294,0.0,416,0.0,12.0,128.0,,54,0.0,4846,1268,124.0,85,,11.0,0.0,0.0,9221,99.0,76.0,2391,0.0,135.0,60,0.0,479,509,10.0,133,,68,204,4335,0.0,0.0
2022,1,0.0,70.0,0.0,2442,150.0,28.0,656,61.0,526,0.0,514,0.0,7.0,588.0,9.0,77,0.0,6465,2124,142.0,651,,33.0,16.0,0.0,11404,94.0,40.0,3005,19.0,555.0,121,0.0,614,1349,5.0,496,,72,112,4257,0.0,0.0
2022,2,0.0,43.0,0.0,2694,138.0,42.0,1015,53.0,384,0.0,751,5.0,47.0,208.0,187.0,88,,8028,1857,454.0,685,19.0,37.0,10.0,0.0,14709,290.0,89.0,3063,32.0,548.0,393,,666,1767,,1735,0.0,335,396,5037,0.0,0.0
2022,3,0.0,71.0,0.0,3084,267.0,11.0,717,51.0,337,0.0,1088,51.0,626.0,266.0,160.0,100,41.0,8519,1582,730.0,493,204.0,58.0,6.0,0.0,17398,87.0,196.0,3665,100.0,501.0,602,18.0,1141,1555,,2152,,353,2181,7839,0.0,0.0
2022,4,0.0,68.0,0.0,913,165.0,6.0,379,70.0,162,0.0,560,7.0,1032.0,115.0,85.0,61,15.0,5417,1262,293.0,219,479.0,16.0,0.0,0.0,12258,157.0,220.0,2319,74.0,169.0,379,83.0,714,1053,0.0,643,5.0,182,1670,4396,0.0,
2022,5,0.0,54.0,0.0,469,117.0,9.0,183,10.0,164,0.0,390,,285.0,26.0,21.0,45,5.0,3571,614,86.0,78,185.0,17.0,0.0,0.0,6697,51.0,143.0,1638,21.0,43.0,313,22.0,511,418,0.0,252,9.0,65,485,2230,,0.0
2022,6,0.0,8.0,0.0,75,29.0,,45,7.0,75,0.0,151,0.0,39.0,13.0,,87,,931,275,28.0,52,43.0,,0.0,0.0,2441,9.0,131.0,645,,20.0,63,,157,61,0.0,60,0.0,22,107,515,0.0,0.0
2022,7,0.0,8.0,0.0,59,16.0,,7,,38,0.0,123,0.0,27.0,12.0,0.0,28,0.0,563,512,8.0,8,31.0,0.0,0.0,0.0,1275,,12.0,372,,,44,0.0,74,28,0.0,21,0.0,18,70,240,0.0,0.0
2022,8,0.0,7.0,0.0,38,5.0,,30,0.0,33,0.0,110,0.0,8.0,11.0,0.0,15,,634,593,21.0,178,8.0,0.0,,0.0,841,0.0,12.0,391,,,29,,68,20,0.0,27,0.0,37,62,224,0.0,0.0
2022,9,0.0,,0.0,93,20.0,5.0,28,,67,0.0,299,0.0,7.0,48.0,0.0,31,,1246,1117,0.0,272,10.0,,0.0,0.0,2765,8.0,60.0,1114,,0.0,24,0.0,269,119,0.0,56,0.0,61,677,994,0.0,0.0
2022,10,0.0,55.0,0.0,204,72.0,15.0,75,12.0,91,0.0,672,0.0,,165.0,5.0,18,27.0,4242,1663,,41,,,0.0,0.0,8501,,177.0,2749,,8.0,77,0.0,1318,162,0.0,65,0.0,97,2823,6875,0.0,0.0
2022,11,0.0,69.0,0.0,284,99.0,,147,21.0,206,0.0,364,0.0,,100.0,,21,14.0,4044,1263,106.0,24,,,0.0,0.0,7803,6.0,128.0,2149,0.0,11.0,21,0.0,505,254,,121,,17,696,5372,,0.0
2022,12,0.0,104.0,0.0,808,79.0,10.0,166,23.0,319,,442,0.0,0.0,125.0,12.0,34,6.0,4568,1221,123.0,182,,9.0,,0.0,7994,32.0,41.0,2171,0.0,88.0,56,0.0,495,387,6.0,117,0.0,99,170,3092,0.0,0.0
2023,1,0.0,168.0,0.0,2007,173.0,60.0,510,24.0,352,0.0,547,0.0,,412.0,6.0,51,5.0,5599,1993,207.0,645,,23.0,,0.0,10863,40.0,72.0,2508,0.0,472.0,93,0.0,589,1056,17.0,379,,79,158,3660,0.0,0.0
2023,2,0.0,191.0,0.0,2505,110.0,46.0,951,55.0,312,,647,5.0,14.0,303.0,169.0,46,29.0,9192,2153,456.0,777,21.0,23.0,,0.0,16190,317.0,91.0,3287,13.0,658.0,409,6.0,738,1710,13.0,1822,0.0,306,428,5374,0.0,0.0
2023,3,0.0,146.0,,2737,334.0,40.0,741,39.0,445,0.0,927,40.0,589.0,261.0,195.0,69,63.0,9821,1516,901.0,504,261.0,43.0,0.0,0.0,16184,222.0,407.0,3435,80.0,488.0,515,17.0,1002,1423,0.0,1880,0.0,387,2000,6798,,0.0
2023,4,0.0,77.0,0.0,862,107.0,22.0,323,42.0,167,,614,9.0,820.0,215.0,63.0,35,39.0,6312,1152,314.0,156,383.0,,0.0,,11316,106.0,193.0,2232,31.0,151.0,221,29.0,649,515,,462,,149,1618,3659,0.0,0.0
2023,5,,26.0,0.0,381,61.0,8.0,147,14.0,128,0.0,366,0.0,149.0,149.0,10.0,30,5.0,2900,381,76.0,23,131.0,,0.0,,6279,73.0,174.0,1382,31.0,57.0,126,11.0,383,288,,296,14.0,51,482,1694,,0.0
2023,6,,31.0,,78,22.0,,44,,60,0.0,166,0.0,64.0,6.0,,87,9.0,854,325,36.0,43,61.0,0.0,0.0,0.0,2168,5.0,30.0,708,,26.0,41,0.0,84,64,,52,,33,106,371,0.0,0.0
2023,7,0.0,0.0,8.0,65,,6.0,7,0.0,31,0.0,111,0.0,9.0,,,11,0.0,468,91,,12,13.0,0.0,0.0,0.0,888,0.0,6.0,280,,12.0,37,0.0,35,14,0.0,12,,15,44,100,0.0,0.0
